#scalar perturbations for mode k = 5.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:shear_idr             19:delta_cdm             20:theta_cdm          
       1.433874783780e+01       3.376185053251e-05      -1.204932019104e+00       1.052435275075e-04       9.481890516244e-08       2.370472629061e-07       6.012499125794e-13       4.740945258122e-08      -9.036990143282e-01       1.052435275077e-04       5.916384850294e-01       6.990190055126e-01      -1.204932019066e+00       1.052182644888e-04       2.016082196821e-04      -1.204932019066e+00       1.052182644888e-04       2.016081966222e-04      -9.036990143846e-01       1.052928058720e-04 
       1.434072223272e+01       3.376661155013e-05      -1.204934647947e+00       1.052578625715e-04       9.485855441843e-08       2.371463860461e-07       6.016709864620e-13       4.742927720922e-08      -9.037009859601e-01       1.052578625720e-04       5.916386766936e-01       6.990184175708e-01      -1.204934647842e+00       1.052325889849e-04       2.016636152795e-04      -1.204934647842e+00       1.052325889849e-04       2.016635524088e-04      -9.037009861138e-01       1.053071610481e-04 
       1.434269662763e+01       3.377137259862e-05      -1.204937277052e+00       1.052721976114e-04       9.489821487222e-08       2.372455371805e-07       6.020922982513e-13       4.744910743611e-08      -9.037029577892e-01       1.052721976122e-04       5.916388683110e-01       6.990178295727e-01      -1.204937276881e+00       1.052469134539e-04       2.017190184138e-04      -1.204937276881e+00       1.052469134539e-04       2.017189157212e-04      -9.037029580403e-01       1.053215162054e-04 
       1.434467102255e+01       3.377613367798e-05      -1.204939906410e+00       1.052865326261e-04       9.493788652458e-08       2.373447163114e-07       6.025138480440e-13       4.746894326229e-08      -9.037049298074e-01       1.052865326273e-04       5.916390598839e-01       6.990172415210e-01      -1.204939906172e+00       1.052612378947e-04       2.017744290849e-04      -1.204939906172e+00       1.052612378947e-04       2.017742865596e-04      -9.037049301558e-01       1.053358713430e-04 
       1.434664541747e+01       3.378089478822e-05      -1.204942536009e+00       1.053008676147e-04       9.497756937630e-08       2.374439234408e-07       6.029356359373e-13       4.748878468815e-08      -9.037069020069e-01       1.053008676162e-04       5.916392514144e-01       6.990166534182e-01      -1.204942535704e+00       1.052755623064e-04       2.018298472929e-04      -1.204942535704e+00       1.052755623064e-04       2.018296649239e-04      -9.037069024527e-01       1.053502264599e-04 
       1.435070978720e+01       3.379069581846e-05      -1.204947949866e+00       1.053303766679e-04       9.505929335044e-08       2.376482333761e-07       6.038046529071e-13       4.752964667522e-08      -9.037109623996e-01       1.053303766701e-04       5.916396455621e-01       6.990154426345e-01      -1.204947949424e+00       1.053050495773e-04       2.019439515840e-04      -1.204947949424e+00       1.053050495773e-04       2.019436871608e-04      -9.037109630462e-01       1.053797769651e-04 
       1.435477415693e+01       3.380049697953e-05      -1.204953364638e+00       1.053598856005e-04       9.514106479528e-08       2.378526619882e-07       6.046746801195e-13       4.757053239764e-08      -9.037150234786e-01       1.053598856034e-04       5.916400395533e-01       6.990142316621e-01      -1.204953364059e+00       1.053345367148e-04       2.020580878128e-04      -1.204953364059e+00       1.053345367148e-04       2.020577412890e-04      -9.037150243260e-01       1.054093273725e-04 
       1.435883852667e+01       3.381029827143e-05      -1.204958780268e+00       1.053893944072e-04       9.522288372061e-08       2.380572093015e-07       6.055457184398e-13       4.761144186031e-08      -9.037190852013e-01       1.053893944108e-04       5.916404333999e-01       6.990130205150e-01      -1.204958779552e+00       1.053640237138e-04       2.021722559791e-04      -1.204958779552e+00       1.053640237139e-04       2.021718273085e-04      -9.037190862497e-01       1.054388776769e-04 
       1.436290289640e+01       3.382009969418e-05      -1.204964196717e+00       1.054189030844e-04       9.530475013757e-08       2.382618753439e-07       6.064177687426e-13       4.765237506879e-08      -9.037231475377e-01       1.054189030887e-04       5.916408271106e-01       6.990118092034e-01      -1.204964195863e+00       1.053935105706e-04       2.022864560829e-04      -1.204964195863e+00       1.053935105707e-04       2.022859452190e-04      -9.037231487873e-01       1.054684278748e-04 
       1.436696726613e+01       3.382990124776e-05      -1.204969613960e+00       1.054484116299e-04       9.538666405868e-08       2.384666601467e-07       6.072908319115e-13       4.769333202934e-08      -9.037272104698e-01       1.054484116349e-04       5.916412206902e-01       6.990105977331e-01      -1.204969612968e+00       1.054229972830e-04       2.024006881239e-04      -1.204969612968e+00       1.054229972833e-04       2.024000950204e-04      -9.037272119209e-01       1.054979779639e-04 
       1.438332025655e+01       3.386933911796e-05      -1.204991418347e+00       1.055671379323e-04       9.571672507535e-08       2.392918126884e-07       6.108138556167e-13       4.785836253768e-08      -9.037435637606e-01       1.055671379401e-04       5.916428029140e-01       6.990057217587e-01      -1.204991416800e+00       1.055416356119e-04       2.028606234623e-04      -1.204991416800e+00       1.055416356125e-04       2.028596989985e-04      -9.037435660235e-01       1.056168716489e-04 
       1.439967324697e+01       3.390877910623e-05      -1.205013237932e+00       1.056858623246e-04       9.604755649211e-08       2.401188912303e-07       6.143533504606e-13       4.802377824606e-08      -9.037599284489e-01       1.056858623351e-04       5.916443825152e-01       6.990008426323e-01      -1.205013235828e+00       1.056602718252e-04       2.033210758049e-04      -1.205013235828e+00       1.056602718262e-04       2.033198192290e-04      -9.037599315265e-01       1.057357637955e-04 
       1.441602623739e+01       3.394822121257e-05      -1.205035079102e+00       1.058045854051e-04       9.637915979759e-08       2.409478994940e-07       6.179093785933e-13       4.818957989880e-08      -9.037763093263e-01       1.058045854185e-04       5.916459581344e-01       6.989959587567e-01      -1.205035076439e+00       1.057789065210e-04       2.037820451430e-04      -1.205035076439e+00       1.057789065225e-04       2.037804557022e-04      -9.037763132213e-01       1.058546550026e-04 
       1.443237922781e+01       3.398766543699e-05      -1.205056947606e+00       1.059233077151e-04       9.671153643337e-08       2.417788410834e-07       6.214820020385e-13       4.835576821669e-08      -9.037927107042e-01       1.059233077314e-04       5.916475285475e-01       6.989910686948e-01      -1.205056944382e+00       1.058975402402e-04       2.042435314702e-04      -1.205056944382e+00       1.058975402425e-04       2.042416084109e-04      -9.037927154194e-01       1.059735458117e-04 
       1.444873221823e+01       3.402711177949e-05      -1.205078836821e+00       1.060420286446e-04       9.704468679126e-08       2.426117169781e-07       6.250712762320e-13       4.852234339563e-08      -9.038091276161e-01       1.060420286637e-04       5.916490951523e-01       6.989861741020e-01      -1.205078833035e+00       1.060161723725e-04       2.047055347803e-04      -1.205078833035e+00       1.060161723757e-04       2.047032773480e-04      -9.038091331542e-01       1.060924356132e-04 
       1.446508520864e+01       3.406656024006e-05      -1.205100740674e+00       1.061607476319e-04       9.737861130260e-08       2.434465282565e-07       6.286772569761e-13       4.868930565130e-08      -9.038255555053e-01       1.061607476539e-04       5.916506592312e-01       6.989812764973e-01      -1.205100736322e+00       1.061348023563e-04       2.051680550650e-04      -1.205100736322e+00       1.061348023604e-04       2.051654625045e-04      -9.038255618691e-01       1.062113238459e-04 
       1.451115834496e+01       3.417771425646e-05      -1.205162530085e+00       1.064952175614e-04       9.832358588518e-08       2.458089647130e-07       6.389271487009e-13       4.916179294259e-08      -9.038718975641e-01       1.064952175917e-04       5.916550525836e-01       6.989674620989e-01      -1.205162524132e+00       1.064690204130e-04       2.064739459769e-04      -1.205162524132e+00       1.064690204206e-04       2.064704051525e-04      -9.038719062691e-01       1.065462726205e-04 
       1.455723148127e+01       3.428888508576e-05      -1.205224491244e+00       1.068296774094e-04       9.927473911484e-08       2.481868477871e-07       6.493114880990e-13       4.963736955742e-08      -9.039183684328e-01       1.068296774481e-04       5.916594139652e-01       6.989536099006e-01      -1.205224483674e+00       1.068032267412e-04       2.077839402587e-04      -1.205224483674e+00       1.068032267534e-04       2.077794451495e-04      -9.039183795012e-01       1.068812142888e-04 
       1.460330461759e+01       3.440007272796e-05      -1.205286569841e+00       1.071641221899e-04       1.002320875368e-07       2.505802188419e-07       6.598315857496e-13       5.011604376838e-08      -9.039649273807e-01       1.071641222372e-04       5.916637547812e-01       6.989397334789e-01      -1.205286560638e+00       1.071374163493e-04       2.090980377066e-04      -1.205286560638e+00       1.071374163673e-04       2.090925822730e-04      -9.039649408347e-01       1.072161438736e-04 
       1.464937775390e+01       3.451127718305e-05      -1.205348811200e+00       1.074985562734e-04       1.011956564019e-07       2.529891410047e-07       6.704888183103e-13       5.059782820094e-08      -9.040116084001e-01       1.074985563294e-04       5.916680653174e-01       6.989258215029e-01      -1.205348800349e+00       1.074715936022e-04       2.104162381346e-04      -1.205348800349e+00       1.074715936271e-04       2.104098163179e-04      -9.040116242622e-01       1.075510657539e-04 
       1.469545089022e+01       3.462249845105e-05      -1.205411173888e+00       1.078329758544e-04       1.021654633237e-07       2.554136583094e-07       6.812845214226e-13       5.108273166187e-08      -9.040583804161e-01       1.078329759193e-04       5.916723542523e-01       6.989118843307e-01      -1.205411161373e+00       1.078057546889e-04       2.117385413499e-04      -1.205411161373e+00       1.078057547217e-04       2.117311470727e-04      -9.040583987087e-01       1.078859761331e-04 
       1.474152402654e+01       3.473373653195e-05      -1.205473685581e+00       1.081673836553e-04       1.031415320638e-07       2.578538301595e-07       6.922200806319e-13       5.157076603190e-08      -9.041052641859e-01       1.081673837292e-04       5.916766156190e-01       6.988979150432e-01      -1.205473671385e+00       1.081399023259e-04       2.130649471570e-04      -1.205473671385e+00       1.081399023678e-04       2.130565743231e-04      -9.041052849317e-01       1.082208777422e-04 
       1.488054855858e+01       3.506949655642e-05      -1.205663114021e+00       1.091763707168e-04       1.061249565878e-07       2.653123914696e-07       7.260795289429e-13       5.306247829392e-08      -9.042473355157e-01       1.091763708190e-04       5.916893277727e-01       6.988555939527e-01      -1.205663094658e+00       1.091480941738e-04       2.170922084709e-04      -1.205663094658e+00       1.091480942499e-04       2.170808457242e-04      -9.042473638030e-01       1.092313731901e-04 
       1.501957309062e+01       3.540540966495e-05      -1.205853714894e+00       1.101852365857e-04       1.091661587520e-07       2.729153968801e-07       7.612632781276e-13       5.458307937602e-08      -9.043902861708e-01       1.101852367178e-04       5.917018245637e-01       6.988130265089e-01      -1.205853690215e+00       1.101561494230e-04       2.211568171962e-04      -1.205853690215e+00       1.101561495439e-04       2.211424083407e-04      -9.043903222113e-01       1.102417751693e-04 
       1.515859762266e+01       3.574147585753e-05      -1.206045479728e+00       1.111939830249e-04       1.122657240482e-07       2.806643101206e-07       7.978105024739e-13       5.613286202412e-08      -9.045341097959e-01       1.111939831885e-04       5.917141054240e-01       6.987702148248e-01      -1.206045449580e+00       1.111640696818e-04       2.252587677785e-04      -1.206045449580e+00       1.111640698582e-04       2.252412561008e-04      -9.045341538050e-01       1.112520856809e-04 
       1.529762215470e+01       3.607769513418e-05      -1.206238326972e+00       1.122026045577e-04       1.154242314808e-07       2.885605787019e-07       8.357611213753e-13       5.771211574038e-08      -9.046787452289e-01       1.122026047544e-04       5.917261854467e-01       6.987271792819e-01      -1.206238291201e+00       1.121718493187e-04       2.293980545956e-04      -1.206238291201e+00       1.121718495614e-04       2.293773828651e-04      -9.046787974260e-01       1.122622994857e-04 
       1.543664668675e+01       3.641406749488e-05      -1.206432227876e+00       1.132111006710e-04       1.186422656731e-07       2.966056641828e-07       8.751558929654e-13       5.932113283656e-08      -9.048241709073e-01       1.132111009025e-04       5.917380687012e-01       6.986839270621e-01      -1.206432186326e+00       1.131794876654e-04       2.335746719325e-04      -1.206432186326e+00       1.131794879855e-04       2.335507824015e-04      -9.048242315158e-01       1.132724163081e-04 
       1.557567121879e+01       3.675059293964e-05      -1.206627168518e+00       1.142194722319e-04       1.219204135124e-07       3.048010337809e-07       9.160364014207e-13       6.096020675618e-08      -9.049703763886e-01       1.142194725001e-04       5.917497562542e-01       6.986404616403e-01      -1.206627121027e+00       1.141869854338e-04       2.377886140332e-04      -1.206627121027e+00       1.141869858427e-04       2.377614484373e-04      -9.049704456358e-01       1.142824372521e-04 
       1.581284857200e+01       3.732506233809e-05      -1.206961972167e+00       1.159394668251e-04       1.276533879570e-07       3.191334698925e-07       9.893296686324e-13       6.382669397849e-08      -9.052214791255e-01       1.159394671599e-04       5.917692741600e-01       6.985658588118e-01      -1.206961914162e+00       1.159054518926e-04       2.450637826332e-04      -1.206961914162e+00       1.159054524794e-04       2.450308920729e-04      -9.052215636464e-01       1.160053125715e-04 
       1.605002592520e+01       3.789997728354e-05      -1.207299463988e+00       1.176590809803e-04       1.335659282055e-07       3.339148205137e-07       1.067286927381e-12       6.678296410275e-08      -9.054745979913e-01       1.176590813872e-04       5.917882813011e-01       6.984907199066e-01      -1.207299394978e+00       1.176234900444e-04       2.524475374795e-04      -1.207299394979e+00       1.176234908436e-04       2.524087483081e-04      -9.054746984793e-01       1.177278927683e-04 
       1.628720327841e+01       3.847533777599e-05      -1.207639497764e+00       1.193783088422e-04       1.396609519502e-07       3.491523798755e-07       1.150131463735e-12       6.983047597511e-08      -9.057296233237e-01       1.193783093270e-04       5.918068018188e-01       6.984150814485e-01      -1.207639417244e+00       1.193410932592e-04       2.599398486186e-04      -1.207639417245e+00       1.193410943064e-04       2.598949846247e-04      -9.057297404925e-01       1.194501731567e-04 
       1.652438063162e+01       3.905114381543e-05      -1.207981936513e+00       1.210971446361e-04       1.459413831245e-07       3.648534578112e-07       1.238093888715e-12       7.297069156224e-08      -9.059864523853e-01       1.210971452050e-04       5.918248587424e-01       6.983389776525e-01      -1.207981843960e+00       1.210582549856e-04       2.675406855940e-04      -1.207981843961e+00       1.210582563172e-04       2.674895680029e-04      -9.059865869691e-01       1.211721491280e-04 
       1.676155798483e+01       3.962739540187e-05      -1.208326645853e+00       1.228155820253e-04       1.524101510888e-07       3.810253777219e-07       1.331412267989e-12       7.620507554438e-08      -9.062449843904e-01       1.228155826846e-04       5.918424752892e-01       6.982624420827e-01      -1.208326540730e+00       1.227749681084e-04       2.752500174913e-04      -1.208326540732e+00       1.227749697621e-04       2.751924649659e-04      -9.062451371447e-01       1.228938155087e-04 
       1.699873533804e+01       4.020409253530e-05      -1.208673501542e+00       1.245336149566e-04       1.590701915793e-07       3.976754789482e-07       1.430332267032e-12       7.953509578964e-08      -9.065051261571e-01       1.245336157130e-04       5.918596731843e-01       6.981855057678e-01      -1.208673383296e+00       1.244912257945e-04       2.830678129423e-04      -1.208673383298e+00       1.244912278090e-04       2.830036415838e-04      -9.065052978582e-01       1.246151674055e-04 
       1.723591269125e+01       4.078123521573e-05      -1.209022391550e+00       1.262512379677e-04       1.659244471314e-07       4.148111178286e-07       1.535107293759e-12       8.296222356572e-08      -9.067667936633e-01       1.262512388282e-04       5.918764721495e-01       6.981081966831e-01      -1.209022259612e+00       1.262070217999e-04       2.909940401233e-04      -1.209022259615e+00       1.262070242150e-04       2.909230634725e-04      -9.067669851092e-01       1.263362005132e-04 
       1.765295949332e+01       4.179714916476e-05      -1.209640492412e+00       1.292704538693e-04       1.784567604397e-07       4.461419010993e-07       1.734338764534e-12       8.922838021986e-08      -9.072303693106e-01       1.292704549310e-04       5.919050993612e-01       6.979714322333e-01      -1.209640334966e+00       1.292228972332e-04       3.051941850537e-04      -1.209640334971e+00       1.292229004526e-04       3.051107821820e-04      -9.072305974766e-01       1.293616371531e-04 
       1.807000629539e+01       4.281444069329e-05      -1.210264078771e+00       1.322883620772e-04       1.916147694094e-07       4.790369235235e-07       1.953966595917e-12       9.580738470471e-08      -9.076980590803e-01       1.322883633644e-04       5.919326372112e-01       6.978337160369e-01      -1.210263893913e+00       1.322372982415e-04       3.197293099911e-04      -1.210263893920e+00       1.322373023977e-04       3.196328825683e-04      -9.076983266212e-01       1.323860576822e-04 
       1.848705309746e+01       4.383310980134e-05      -1.210892703514e+00       1.353049379130e-04       2.054146163194e-07       5.135365407986e-07       2.195550918340e-12       1.027073081597e-07      -9.081695276382e-01       1.353049394520e-04       5.919591681676e-01       6.976951596883e-01      -1.210892489247e+00       1.352501958594e-04       3.345992330509e-04      -1.210892489256e+00       1.352502010916e-04       3.344891688499e-04      -9.081698373318e-01       1.354094436433e-04 
       1.890409989953e+01       4.485315648889e-05      -1.211525967378e+00       1.383201577096e-04       2.198725034093e-07       5.496812585233e-07       2.460733309972e-12       1.099362517047e-07      -9.086444755370e-01       1.383201595289e-04       5.919847674170e-01       6.975558628166e-01      -1.211525721608e+00       1.382615621178e-04       3.498037689034e-04      -1.211525721620e+00       1.382615685713e-04       3.496794418105e-04      -9.086448302865e-01       1.384317775614e-04 
       1.932114670160e+01       4.587458075596e-05      -1.212163560778e+00       1.413340046301e-04       2.350047025273e-07       5.875117563183e-07       2.751239343873e-12       1.175023512637e-07      -9.091226705873e-01       1.413340067601e-04       5.920094934284e-01       6.974159026285e-01      -1.212163281312e+00       1.412713758615e-04       3.653427290575e-04      -1.212163281328e+00       1.412713836884e-04       3.652034990826e-04      -9.091230734239e-01       1.414530487617e-04 
       1.973819350367e+01       4.689738260253e-05      -1.212805175113e+00       1.443464586494e-04       2.508275398683e-07       6.270688496707e-07       3.068880887775e-12       1.254137699341e-07      -9.096038813395e-01       1.443464611229e-04       5.920334063175e-01       6.972753560816e-01      -1.212804859657e+00       1.442796127322e-04       3.812159220714e-04      -1.212804859678e+00       1.442796220912e-04       3.810611353592e-04      -9.096043354251e-01       1.444732433529e-04 
       2.015524030574e+01       4.792156202861e-05      -1.213450540203e+00       1.473575014136e-04       2.673574032976e-07       6.683935082439e-07       3.415558671698e-12       1.336787016488e-07      -9.100879051581e-01       1.473575042654e-04       5.920565595719e-01       6.971342905261e-01      -1.213450186361e+00       1.472862500270e-04       3.974231536075e-04      -1.213450186388e+00       1.472862610837e-04       3.972521424478e-04      -9.100884137878e-01       1.474923490852e-04 
       2.067632504836e+01       4.920317273163e-05      -1.214261814697e+00       1.511176807369e-04       2.890295005847e-07       7.225737514619e-07       3.892566067787e-12       1.445147502924e-07      -9.106963610307e-01       1.511176841144e-04       5.920844930019e-01       6.969573937456e-01      -1.214261409362e+00       1.510406535838e-04       4.181426249831e-04      -1.214261409398e+00       1.510406670053e-04       4.179503825572e-04      -9.106969426485e-01       1.512630651045e-04 
       2.119740979099e+01       5.048693405523e-05      -1.215078196313e+00       1.548756033553e-04       3.118632901118e-07       7.796582252796e-07       4.422113204832e-12       1.559316450559e-07      -9.113086472446e-01       1.548756073215e-04       5.921113923900e-01       6.967798731131e-01      -1.215077735366e+00       1.547924910767e-04       4.393828852640e-04      -1.215077735411e+00       1.547925071467e-04       4.391683205799e-04      -9.113093074769e-01       1.550320489994e-04 
       2.171849453362e+01       5.177284599942e-05      -1.215899352399e+00       1.586312435884e-04       3.358911478027e-07       8.397278695067e-07       5.008529555863e-12       1.679455739013e-07      -9.119245143113e-01       1.586312482120e-04       5.921373271724e-01       6.966018113972e-01      -1.215898831501e+00       1.585417282428e-04       4.611435383449e-04      -1.215898831559e+00       1.585417472592e-04       4.609055334593e-04      -9.119252590610e-01       1.587992868057e-04 
       2.223957927624e+01       5.306090856418e-05      -1.216724945470e+00       1.623845706952e-04       3.611455834984e-07       9.028639587461e-07       5.656389098623e-12       1.805727917492e-07      -9.125437091168e-01       1.623845760499e-04       5.921623692337e-01       6.964232925703e-01      -1.216724360060e+00       1.622883257212e-04       4.834241822710e-04      -1.216724360132e+00       1.622883479968e-04       4.831615923174e-04      -9.125445445690e-01       1.625647594278e-04 
       2.276066401887e+01       5.435112174953e-05      -1.217554767885e+00       1.661355683623e-04       3.876592830380e-07       9.691482075950e-07       6.370519011497e-12       1.938296415190e-07      -9.131660759309e-01       1.661355745278e-04       5.921865639469e-01       6.962443681393e-01      -1.217554113171e+00       1.660322585427e-04       5.062244096488e-04      -1.217554113260e+00       1.660322844053e-04       5.059360628660e-04      -9.131670085594e-01       1.663284621277e-04 
       2.328174876149e+01       5.564348555546e-05      -1.218388545064e+00       1.698842076424e-04       4.154650492400e-07       1.038662623100e-06       7.156006930322e-12       2.077325246200e-07      -9.137914088187e-01       1.698842147043e-04       5.922099716960e-01       6.960651063418e-01      -1.218387816019e+00       1.697734890678e-04       5.295438077052e-04      -1.218387816127e+00       1.697735188607e-04       5.292285054661e-04      -9.137924453916e-01       1.700903774631e-04 
       2.380283350412e+01       5.693799998198e-05      -1.219226108585e+00       1.736304721166e-04       4.445958587134e-07       1.111489646784e-06       8.018210122788e-12       2.222979293567e-07      -9.144195814638e-01       1.736304801668e-04       5.922326309086e-01       6.958855488724e-01      -1.219225299940e+00       1.735119921495e-04       5.533819585675e-04      -1.219225300070e+00       1.735120262316e-04       5.530384754090e-04      -9.144207290500e-01       1.738505004505e-04 
       2.453086453499e+01       5.875022594535e-05      -1.220402321472e+00       1.788605340190e-04       4.875775425387e-07       1.218943856347e-06       9.362037591133e-12       2.437887712693e-07      -9.153017411352e-01       1.788605436167e-04       5.922631106025e-01       6.956342664775e-01      -1.220401392317e+00       1.787306031148e-04       5.875552065854e-04      -1.220401392484e+00       1.787306438217e-04       5.871702476287e-04      -9.153030562422e-01       1.791009216187e-04 
       2.525889556586e+01       6.056664995155e-05      -1.221585147075e+00       1.840858674412e-04       5.333011755142e-07       1.333252938786e-06       1.088296545294e-11       2.666505877571e-07      -9.161888603455e-01       1.840858787978e-04       5.922923096629e-01       6.953825995463e-01      -1.221584085944e+00       1.839437561165e-04       6.227390736709e-04      -1.221584086154e+00       1.839438042255e-04       6.223101214627e-04      -9.161903582257e-01       1.843478042171e-04 
       2.598692659673e+01       6.238727200058e-05      -1.222774282311e+00       1.893064324035e-04       5.818581324741e-07       1.454645331185e-06       1.259843803483e-11       2.909290662370e-07      -9.170807117811e-01       1.893064457508e-04       5.923203022904e-01       6.951306226979e-01      -1.222773077015e+00       1.891513870234e-04       6.589323741968e-04      -1.222773077276e+00       1.891514433585e-04       6.584568383916e-04      -9.170824085639e-01       1.895911387716e-04 
       2.671495762760e+01       6.421209209243e-05      -1.223969417957e+00       1.945221825996e-04       6.333403230829e-07       1.583350807707e-06       1.452708183899e-11       3.166701615415e-07      -9.179770635258e-01       1.945221981908e-04       5.923471642358e-01       6.948784120746e-01      -1.223968055566e+00       1.943534252446e-04       6.961339058042e-04      -1.223968055885e+00       1.943534906776e-04       6.956091232836e-04      -9.179789762401e-01       1.948309092182e-04 
       2.744298865847e+01       6.604111022712e-05      -1.225170305869e+00       1.997330769807e-04       6.878402235533e-07       1.719600558883e-06       1.668875366626e-11       3.439201117767e-07      -9.188777294721e-01       1.997330950920e-04       5.923729582992e-01       6.946260285390e-01      -1.225168772685e+00       1.995498053151e-04       7.343424497621e-04      -1.225168773073e+00       1.995498807668e-04       7.337656847554e-04      -9.188798760680e-01       2.000671044891e-04 
       2.817101968934e+01       6.787432640463e-05      -1.226376737809e+00       2.049390773786e-04       7.454508703943e-07       1.863627175986e-06       1.910458884268e-11       3.727254351971e-07      -9.197825534416e-01       2.049390983102e-04       5.923977386618e-01       6.943735229676e-01      -1.226375019344e+00       2.047404645193e-04       7.735567713697e-04      -1.226375019810e+00       2.047405509609e-04       7.729252155770e-04      -9.197849528123e-01       2.052997161359e-04 
