#scalar perturbations for mode k = 5.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:shear_idr             19:delta_cdm             20:theta_cdm          
       1.433760653114e+01       3.375909842184e-05      -1.204930499616e+00       1.052352410574e-04       9.479599086284e-08       2.369899771571e-07       6.010066176551e-13       4.739799543142e-08      -9.036978747122e-01       1.052352410574e-04       5.916383742148e-01       6.990193453478e-01      -1.204930499616e+00       1.052099841462e-04       2.015762014791e-04      -1.204930499616e+00       1.052099841462e-04       2.015762014270e-04      -9.036978747124e-01       1.052845077984e-04 
       1.433760911328e+01       3.375910464833e-05      -1.204930503054e+00       1.052352598050e-04       9.479604270092e-08       2.369901067523e-07       6.010071680064e-13       4.739802135046e-08      -9.036978772904e-01       1.052352598050e-04       5.916383744656e-01       6.990193445790e-01      -1.204930503054e+00       1.052100028800e-04       2.015762739156e-04      -1.204930503054e+00       1.052100028800e-04       2.015762738115e-04      -9.036978772907e-01       1.052845265724e-04 
       1.433761169542e+01       3.375911087481e-05      -1.204930506491e+00       1.052352785526e-04       9.479609453902e-08       2.369902363475e-07       6.010077183581e-13       4.739804726951e-08      -9.036978798686e-01       1.052352785526e-04       5.916383747163e-01       6.990193438102e-01      -1.204930506491e+00       1.052100216138e-04       2.015763463522e-04      -1.204930506491e+00       1.052100216138e-04       2.015763461960e-04      -9.036978798690e-01       1.052845453463e-04 
       1.433763751684e+01       3.375917313964e-05      -1.204930540868e+00       1.052354660289e-04       9.479661292107e-08       2.369915323027e-07       6.010132218977e-13       4.739830646054e-08      -9.036979056507e-01       1.052354660289e-04       5.916383772237e-01       6.990193361219e-01      -1.204930540866e+00       1.052102089519e-04       2.015770707183e-04      -1.204930540866e+00       1.052102089519e-04       2.015770700417e-04      -9.036979056524e-01       1.052847330855e-04 
       1.433766333826e+01       3.375923540448e-05      -1.204930575244e+00       1.052356535052e-04       9.479713130507e-08       2.369928282627e-07       6.010187254781e-13       4.739856565253e-08      -9.036979314331e-01       1.052356535052e-04       5.916383797310e-01       6.990193284336e-01      -1.204930575242e+00       1.052103962901e-04       2.015777950858e-04      -1.204930575242e+00       1.052103962901e-04       2.015777938886e-04      -9.036979314360e-01       1.052849208248e-04 
       1.433768915968e+01       3.375929766933e-05      -1.204930609621e+00       1.052358409816e-04       9.479764969098e-08       2.369941242275e-07       6.010242290992e-13       4.739882484549e-08      -9.036979572156e-01       1.052358409816e-04       5.916383822383e-01       6.990193207452e-01      -1.204930609618e+00       1.052105836283e-04       2.015785194545e-04      -1.204930609618e+00       1.052105836283e-04       2.015785177369e-04      -9.036979572198e-01       1.052851085641e-04 
       1.433771498109e+01       3.375935993418e-05      -1.204930643997e+00       1.052360284579e-04       9.479816807881e-08       2.369954201970e-07       6.010297327609e-13       4.739908403941e-08      -9.036979829981e-01       1.052360284579e-04       5.916383847456e-01       6.990193130568e-01      -1.204930643994e+00       1.052107709664e-04       2.015792438245e-04      -1.204930643994e+00       1.052107709664e-04       2.015792415864e-04      -9.036979830036e-01       1.052852963034e-04 
       1.433797319527e+01       3.375998258297e-05      -1.204930987767e+00       1.052379032208e-04       9.480335206245e-08       2.370083801561e-07       6.010847716151e-13       4.740167603122e-08      -9.036982408252e-01       1.052379032209e-04       5.916384098178e-01       6.990192361723e-01      -1.204930987755e+00       1.052126443477e-04       2.015864875956e-04      -1.204930987755e+00       1.052126443477e-04       2.015864801522e-04      -9.036982408434e-01       1.052871736960e-04 
       1.433823140945e+01       3.376060523229e-05      -1.204931331541e+00       1.052397779834e-04       9.480853623760e-08       2.370213405940e-07       6.011398145361e-13       4.740426811880e-08      -9.036984986560e-01       1.052397779835e-04       5.916384348892e-01       6.990191592868e-01      -1.204931331520e+00       1.052145177285e-04       2.015937314955e-04      -1.204931331520e+00       1.052145177285e-04       2.015937188469e-04      -9.036984986869e-01       1.052890510883e-04 
       1.433848962362e+01       3.376122788214e-05      -1.204931675320e+00       1.052416527457e-04       9.481372060427e-08       2.370343015107e-07       6.011948615241e-13       4.740686030213e-08      -9.036987564903e-01       1.052416527458e-04       5.916384599597e-01       6.990190824002e-01      -1.204931675291e+00       1.052163911089e-04       2.016009755244e-04      -1.204931675291e+00       1.052163911089e-04       2.016009576702e-04      -9.036987565340e-01       1.052909284803e-04 
