# Matter power spectrum P(k) at redshift z=0
# for k=1.02841e-05 to 1.55531 h/Mpc,
# number of wavenumbers equal to 600
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.360271447005e-02       2.451194433635e+04 
       1.373340350729e-02       2.454398363505e+04 
       1.386412894333e-02       2.457388141857e+04 
       1.399489088885e-02       2.460167363087e+04 
       1.412568947781e-02       2.462738726584e+04 
       1.425652486702e-02       2.465105285967e+04 
       1.438739723581e-02       2.467269445723e+04 
       1.449275362319e-02       2.468866245149e+04 
       1.451830678571e-02       2.469233549698e+04 
       1.464925374020e-02       2.471002253877e+04 
       1.478023834441e-02       2.472576378013e+04 
       1.491126086498e-02       2.473959398821e+04 
       1.504232158981e-02       2.475153632538e+04 
       1.517342082791e-02       2.476162126815e+04 
       1.530455890930e-02       2.476986991398e+04 
       1.543573618486e-02       2.477631631484e+04 
       1.556695302630e-02       2.478097763994e+04 
       1.569820982603e-02       2.478388326213e+04 
       1.582950699718e-02       2.478505334946e+04 
       1.596084497356e-02       2.478452172830e+04 
       1.609222420969e-02       2.478230725845e+04 
       1.622364518078e-02       2.477843275917e+04 
       1.635510838282e-02       2.477292900641e+04 
       1.648661433265e-02       2.476581221704e+04 
       1.661816356800e-02       2.475710915390e+04 
       1.674975664765e-02       2.474682874034e+04 
       1.688139415151e-02       2.473504710574e+04 
       1.701307668080e-02       2.472172143637e+04 
       1.714480485816e-02       2.470691303882e+04 
       1.727657932788e-02       2.469062909001e+04 
       1.740840075606e-02       2.467289826388e+04 
       1.754026983083e-02       2.465374495394e+04 
       1.767218726260e-02       2.463316673905e+04 
       1.780415378424e-02       2.461122859957e+04 
       1.793617015142e-02       2.458793743898e+04 
       1.806823714286e-02       2.456329763467e+04 
       1.820035556059e-02       2.453733645081e+04 
       1.833252623031e-02       2.451006718788e+04 
       1.846475000170e-02       2.448153546170e+04 
       1.859702774877e-02       2.445174912884e+04 
       1.872936037020e-02       2.442073373640e+04 
       1.886174878976e-02       2.438850538983e+04 
       1.899419395666e-02       2.435507737276e+04 
       1.912669684601e-02       2.432045243107e+04 
       1.925925845921e-02       2.428470991447e+04 
       1.939187982442e-02       2.424781342338e+04 
       1.952456199702e-02       2.420979710477e+04 
       1.965730606011e-02       2.417069189491e+04 
       1.979011312499e-02       2.413051246098e+04 
       1.992298433167e-02       2.408928040597e+04 
       2.005592084945e-02       2.404699095179e+04 
       2.018892387747e-02       2.400369717828e+04 
       2.032199464525e-02       2.395939552629e+04 
       2.045513441333e-02       2.391412132872e+04 
       2.058834447387e-02       2.386784958104e+04 
       2.072162615132e-02       2.382065274678e+04 
       2.085498080302e-02       2.377252199376e+04 
       2.098840981994e-02       2.372348755151e+04 
       2.112191462737e-02       2.367352704503e+04 
       2.125549668563e-02       2.362273211497e+04 
       2.138915749085e-02       2.357102905244e+04 
       2.152289857573e-02       2.351853402202e+04 
       2.165672151034e-02       2.346517736639e+04 
       2.179062790295e-02       2.341103279932e+04 
       2.192461940087e-02       2.335606665440e+04 
       2.205869769138e-02       2.330033043339e+04 
       2.219286450254e-02       2.324384745925e+04 
       2.232712160423e-02       2.318663005270e+04 
       2.246147080905e-02       2.312867415636e+04 
       2.259591397332e-02       2.306995520100e+04 
       2.273045299813e-02       2.301061026750e+04 
       2.286508983037e-02       2.295055851620e+04 
