# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   38       3.673514428954e-10       1.078158806848e-14       1.054916560386e-12       0.000000000000e+00       8.890003033290e-11       9.614058054034e-12      -8.524762752861e-15 
   39       3.692732931779e-10       1.178641479279e-14       1.079832555532e-12       0.000000000000e+00       8.430144300226e-11       9.157548929072e-12      -7.548862792169e-15 
   40       3.711992958787e-10       1.285204638294e-14       1.103338178997e-12       0.000000000000e+00       8.003223121639e-11       8.733204968071e-12      -6.664659654630e-15 
   41       3.731084091021e-10       1.398011010868e-14       1.125441298801e-12       0.000000000000e+00       7.603547123564e-11       8.333840061889e-12      -6.196510076486e-15 
   42       3.750098676023e-10       1.517210587285e-14       1.146098538286e-12       0.000000000000e+00       7.229918568409e-11       7.958452433265e-12      -6.139884201794e-15 
   43       3.769142303492e-10       1.642945023982e-14       1.165254017578e-12       0.000000000000e+00       6.881323556175e-11       7.606802421613e-12      -6.377430162054e-15 
   44       3.788216092355e-10       1.775349074767e-14       1.182854236447e-12       0.000000000000e+00       6.555197906259e-11       7.277256223901e-12      -6.760883079754e-15 
   45       3.807266644713e-10       1.914549527015e-14       1.198842034432e-12       0.000000000000e+00       6.248338049355e-11       6.967457557144e-12      -7.142586328981e-15 
   46       3.826378003835e-10       2.060662635570e-14       1.213136391458e-12       0.000000000000e+00       5.960248941113e-11       6.676852434298e-12      -7.485828488562e-15 
   47       3.845619552293e-10       2.213795196521e-14       1.225646535346e-12       0.000000000000e+00       5.690587345949e-11       6.404724054670e-12      -7.784218730084e-15 
   48       3.864984075094e-10       2.374044667095e-14       1.236277058806e-12       0.000000000000e+00       5.438152499729e-11       6.149404322522e-12      -8.031105968033e-15 
   49       3.884380923652e-10       2.541498702636e-14       1.244927542199e-12       0.000000000000e+00       5.200822392870e-11       5.908204416232e-12      -8.219580308999e-15 
   50       3.903693129335e-10       2.716237956620e-14       1.251502755870e-12       0.000000000000e+00       4.976190826657e-11       5.678226890325e-12      -8.347241138754e-15 
   51       3.922982880040e-10       2.898346450887e-14       1.255947407071e-12       0.000000000000e+00       4.763830263388e-11       5.459222933768e-12      -8.432023809212e-15 
   52       3.942330001409e-10       3.087903219928e-14       1.258220172627e-12       0.000000000000e+00       4.563533062762e-11       5.251390666682e-12      -8.500671431774e-15 
   53       3.961769146120e-10       3.284978991759e-14       1.258284061478e-12       0.000000000000e+00       4.374634382326e-11       5.054534108970e-12      -8.584564116444e-15 
   54       3.981285967239e-10       3.489635878451e-14       1.256106535303e-12       0.000000000000e+00       4.195981438141e-11       4.868035233378e-12      -8.719944733404e-15 
   55       4.000847452911e-10       3.701931337881e-14       1.251657107923e-12       0.000000000000e+00       4.026283605229e-11       4.691090739712e-12      -8.937247584462e-15 
   56       4.020510521527e-10       3.921931920450e-14       1.244899168789e-12       0.000000000000e+00       3.865334987334e-11       4.523555281133e-12      -9.225462831673e-15 
   57       4.040333701267e-10       4.149702395287e-14       1.235796339563e-12       0.000000000000e+00       3.713041717385e-11       4.365258762123e-12      -9.559314866893e-15 
   58       4.060342891013e-10       4.385301638300e-14       1.224314839299e-12       0.000000000000e+00       3.569052171842e-11       4.215742720957e-12      -9.909189313975e-15 
   59       4.080528864674e-10       4.628782489112e-14       1.210423506845e-12       0.000000000000e+00       3.432741069279e-11       4.074242696585e-12      -1.024093422839e-14 
   60       4.100844775508e-10       4.880191608014e-14       1.194093823238e-12       0.000000000000e+00       3.303193568970e-11       3.939670595498e-12      -1.051566129686e-14 
   61       4.121236265684e-10       5.139557919548e-14       1.175301227705e-12       0.000000000000e+00       3.179458459725e-11       3.810908190275e-12      -1.069882614554e-14 
   62       4.141745338527e-10       5.406855235722e-14       1.154029360144e-12       0.000000000000e+00       3.061410110304e-11       3.687804489773e-12      -1.079030072991e-14 
   63       4.162425478995e-10       5.682030951145e-14       1.130266815000e-12       0.000000000000e+00       2.949052656179e-11       3.570371967912e-12      -1.080072896021e-14 
   64       4.183309673628e-10       5.965016220874e-14       1.104005993877e-12       0.000000000000e+00       2.842260764244e-11       3.458487579334e-12      -1.074293695680e-14 
   65       4.204408949403e-10       6.255725455226e-14       1.075243168995e-12       0.000000000000e+00       2.740772269433e-11       3.351884998247e-12      -1.063202866884e-14 
   66       4.225710912600e-10       6.554055814587e-14       1.043978546623e-12       0.000000000000e+00       2.644180811331e-11       3.250146857271e-12      -1.048548149306e-14 
   67       4.247178287663e-10       6.859886704217e-14       1.010216330533e-12       0.000000000000e+00       2.551928470789e-11       3.152696986287e-12      -1.032324189242e-14 
   68       4.268771742091e-10       7.173097486199e-14       9.739616818527e-13       0.000000000000e+00       2.463454287274e-11       3.058958087247e-12      -1.016375347702e-14 
   69       4.290526997733e-10       7.493625912056e-14       9.352107415037e-13       0.000000000000e+00       2.378691215526e-11       2.968879207048e-12      -1.001089294149e-14 
   70       4.312490791213e-10       7.821420676970e-14       8.939586907327e-13       0.000000000000e+00       2.297657100160e-11       2.882501693152e-12      -9.864546615653e-15 
   71       4.334697145419e-10       8.156424211667e-14       8.502026601727e-13       0.000000000000e+00       2.220304388379e-11       2.799799747536e-12      -9.724435526552e-15 
   72       4.357166529497e-10       8.498572643131e-14       8.039417139121e-13       0.000000000000e+00       2.146516753308e-11       2.720676896633e-12      -9.590106988046e-15 
   73       4.379905018837e-10       8.847795755325e-14       7.551768335631e-13       0.000000000000e+00       2.076105717325e-11       2.644962461281e-12      -9.460926190442e-15 
   74       4.402903455057e-10       9.204016949913e-14       7.039109023316e-13       0.000000000000e+00       2.008807275397e-11       2.572408026668e-12      -9.336067790108e-15 
   75       4.426136606001e-10       9.567153206976e-14       6.501486890860e-13       0.000000000000e+00       1.944278518407e-11       2.502683912276e-12      -9.214507499093e-15 
   76       4.449578979751e-10       9.937106060737e-14       5.938984725930e-13       0.000000000000e+00       1.882182483070e-11       2.435463006548e-12      -9.095278186291e-15 
   77       4.473257452830e-10       1.031373271371e-13       5.351772913857e-13       0.000000000000e+00       1.822468029005e-11       2.370697723592e-12      -8.978310688312e-15 
   78       4.497206757465e-10       1.069686955923e-13       4.740066267392e-13       0.000000000000e+00       1.765135100991e-11       2.308387372111e-12      -8.863731756917e-15 
