# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       3.712961783451e-10       1.293648538464e-14       1.103049921228e-12       8.478573913596e-17       8.003223121639e-11       8.733204968071e-12      -6.664659654630e-15 
   41       3.732091170401e-10       1.406876862356e-14       1.125127825505e-12       8.909840994416e-17       7.603547123564e-11       8.333840061889e-12      -6.196510076486e-15 
   42       3.751144140944e-10       1.526507923086e-14       1.145758568376e-12       9.352071526872e-17       7.229918568409e-11       7.958452433265e-12      -6.139884201794e-15 
   43       3.770226232288e-10       1.652683248926e-14       1.164886291603e-12       9.805269576627e-17       6.881323556175e-11       7.606802421613e-12      -6.377430162054e-15 
   44       3.789338508838e-10       1.785537456598e-14       1.182457525146e-12       1.026943704679e-16       6.555197906259e-11       7.277256223901e-12      -6.760883079754e-15 
   45       3.808427525478e-10       1.925197181635e-14       1.198415147231e-12       1.074457157747e-16       6.248338049355e-11       6.967457557144e-12      -7.142586328981e-15 
   46       3.827577317132e-10       2.071778493250e-14       1.212678183750e-12       1.123065970487e-16       5.960248941113e-11       6.676852434298e-12      -7.485828488562e-15 
   47       3.846857274611e-10       2.225387981064e-14       1.225155917379e-12       1.172768150591e-16       5.690587345949e-11       6.404724054670e-12      -7.784218730084e-15 
   48       3.866260199587e-10       2.386122879569e-14       1.235753005417e-12       1.223561223279e-16       5.438152499729e-11       6.149404322522e-12      -8.031105968033e-15 
   49       3.885695469010e-10       2.554070604562e-14       1.244369102969e-12       1.275442210831e-16       5.200822392870e-11       5.908204416232e-12      -8.219580308999e-15 
   50       3.905046150685e-10       2.729311547877e-14       1.250909062833e-12       1.328407613603e-16       4.976190826657e-11       5.678226890325e-12      -8.347241138754e-15 
   51       3.924374485495e-10       2.911929431413e-14       1.255317673374e-12       1.382453394505e-16       4.763830263388e-11       5.459222933768e-12      -8.432023809212e-15 
   52       3.943760365293e-10       3.102002962277e-14       1.257553698494e-12       1.437574954921e-16       4.563533062762e-11       5.251390666682e-12      -8.500671431774e-15 
   53       3.963238521256e-10       3.299602517229e-14       1.257580243076e-12       1.493767112935e-16       4.374634382326e-11       5.054534108970e-12      -8.584564116444e-15 
   54       3.982794697777e-10       3.504789832449e-14       1.255364873889e-12       1.551024082928e-16       4.195981438141e-11       4.868035233378e-12      -8.719944733404e-15 
   55       4.002395975300e-10       3.717621968661e-14       1.250877214449e-12       1.609339821723e-16       4.026283605229e-11       4.691090739712e-12      -8.937247584462e-15 
   56       4.022099325301e-10       3.938165070760e-14       1.244080752942e-12       1.668709214448e-16       3.865334987334e-11       4.523555281133e-12      -9.225462831673e-15 
   57       4.041963320959e-10       4.166483482964e-14       1.234939210990e-12       1.729127147534e-16       3.713041717385e-11       4.365258762123e-12      -9.559314866893e-15 
   58       4.062013909613e-10       4.402635632383e-14       1.223418913390e-12       1.790588161986e-16       3.569052171842e-11       4.215742720957e-12      -9.909189313975e-15 
   59       4.082241917127e-10       4.646673885349e-14       1.209488810608e-12       1.853086447267e-16       3.432741069279e-11       4.074242696585e-12      -1.024093422839e-14 
   60       4.102600552261e-10       4.898644403751e-14       1.193120501261e-12       1.916615835176e-16       3.303193568970e-11       3.939670595498e-12      -1.051566129686e-14 
   61       4.123035499272e-10       5.158575607804e-14       1.174289544734e-12       1.981170338513e-16       3.179458459725e-11       3.810908190275e-12      -1.069882614554e-14 
   62       4.143588734732e-10       5.426440863228e-14       1.152979692425e-12       2.046745922222e-16       3.061410110304e-11       3.687804489773e-12      -1.079030072991e-14 
   63       4.164313691015e-10       5.702187125746e-14       1.129179650474e-12       2.113339120750e-16       2.949052656179e-11       3.570371967912e-12      -1.080072896021e-14 
   64       4.185243291663e-10       5.985745100435e-14       1.102881935616e-12       2.180946539280e-16       2.842260764244e-11       3.458487579334e-12      -1.074293695680e-14 
   65       4.206388489751e-10       6.277028736541e-14       1.074082938607e-12       2.249564864897e-16       2.740772269433e-11       3.351884998247e-12      -1.063202866884e-14 
   66       4.227736806254e-10       6.575934722308e-14       1.042782987642e-12       2.319190877754e-16       2.644180811331e-11       3.250146857271e-12      -1.048548149306e-14 
   67       4.249250868420e-10       6.882341979799e-14       1.008986411783e-12       2.389821462235e-16       2.551928470789e-11       3.152696986287e-12      -1.032324189242e-14 
   68       4.270891241077e-10       7.196129397753e-14       9.726985032534e-13       2.461453650223e-16       2.463454287274e-11       3.058958087247e-12      -1.016375347702e-14 
   69       4.292693559840e-10       7.517234331799e-14       9.339155478253e-13       2.534084736113e-16       2.378691215526e-11       2.968879207048e-12      -1.001089294149e-14 
   70       4.314704473193e-10       7.845605104871e-14       8.926328789805e-13       2.607712205268e-16       2.297657100160e-11       2.882501693152e-12      -9.864546615653e-15 
   71       4.336957907147e-10       8.181183779942e-14       8.488477846930e-13       2.682333715749e-16       2.220304388379e-11       2.799799747536e-12      -9.724435526552e-15 
   72       4.359474224912e-10       8.523906121301e-14       8.025594915395e-13       2.757947110303e-16       2.146516753308e-11       2.720676896633e-12      -9.590106988046e-15 
   73       4.382259386561e-10       8.873701555815e-14       7.537691488098e-13       2.834550428348e-16       2.076105717325e-11       2.644962461281e-12      -9.460926190442e-15 
   74       4.405304108708e-10       9.230493134204e-14       7.024798126171e-13       2.912141917958e-16       2.008807275397e-11       2.572408026668e-12      -9.336067790108e-15 
   75       4.428583024173e-10       9.594197492309e-14       6.486964300090e-13       2.990720047847e-16       1.944278518407e-11       2.502683912276e-12      -9.214507499093e-15 
   76       4.452070522635e-10       9.964715819890e-14       5.924274654823e-13       3.070283011149e-16       1.882182483070e-11       2.435463006548e-12      -9.095278186291e-15 
   77       4.475793465033e-10       1.034190495134e-13       5.336901580764e-13       3.150827105779e-16       1.822468029005e-11       2.370697723592e-12      -8.978310688312e-15 
   78       4.499786599841e-10       1.072560090836e-13       4.725061985227e-13       3.232348079125e-16       1.765135100991e-11       2.308387372111e-12      -8.863731756917e-15 
   79       4.524076244659e-10       1.111562720524e-13       4.089001893873e-13       3.314841611594e-16       1.710149487926e-11       2.248493560685e-12      -8.751610211580e-15 
   80       4.548679787940e-10       1.151179462574e-13       3.428996628604e-13       3.398303318179e-16       1.657441255317e-11       2.190938459198e-12      -8.641953953126e-15 
   81       4.573605190719e-10       1.191390099993e-13       2.745350985461e-13       3.482728750022e-16       1.606903177773e-11       2.135603060264e-12      -8.534706977377e-15 
   82       4.598850488339e-10       1.232173098109e-13       2.038399412517e-13       3.568113395980e-16       1.558389171491e-11       2.082325440663e-12      -8.429746388792e-15 
   83       4.624403292178e-10       1.273505582258e-13       1.308506187765e-13       3.654452684187e-16       1.511712726750e-11       2.030899022765e-12      -8.326879414112e-15 
   84       4.650250713444e-10       1.315364297954e-13       5.560560650997e-14       3.741742112720e-16       1.466692078083e-11       1.981124831229e-12      -8.226000824819e-15 
   85       4.676412116249e-10       1.357728723163e-13      -2.185759591638e-14       3.829977663063e-16       1.423297752236e-11       1.932982025051e-12      -8.127601731289e-15 
   86       4.702910905989e-10       1.400578433472e-13      -1.014999122026e-13       3.919155458371e-16       1.381526720315e-11       1.886482579974e-12      -8.032340052767e-15 
   87       4.729764271696e-10       1.443892159759e-13      -1.832797790079e-13       4.009271644146e-16       1.341357064422e-11       1.841618987970e-12      -7.940887321854e-15 
   88       4.756982862928e-10       1.487647782391e-13      -2.671531441815e-13       4.100322391970e-16       1.302747195659e-11       1.798363426149e-12      -7.853928394099e-15 
   89       4.784570466654e-10       1.531822325430e-13      -3.530734649932e-13       4.192303903241e-16       1.265635072123e-11       1.756666925672e-12      -7.772161157583e-15 
   90       4.812523684146e-10       1.576391950827e-13      -4.409917063638e-13       4.285212412904e-16       1.229937416902e-11       1.716458540666e-12      -7.696296242513e-15 
   91       4.840831607864e-10       1.621331952623e-13      -5.308563390961e-13       4.379044193188e-16       1.195548936074e-11       1.677644517137e-12      -7.627056730807e-15 
