#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:shear_idr             19:delta_cdm             20:theta_cdm          
       7.088993819814e+00       1.648813483946e-05      -1.193797604931e+00       2.086597456010e-04       4.485920492025e-08       1.121480123006e-07       1.356851229662e-13       2.242960246012e-08      -8.953482036980e-01       2.086597456017e-04       5.915120376156e-01       7.017975875655e-01      -1.193797604640e+00       2.086119336571e-04       1.975909530660e-04      -1.193797604640e+00       2.086119336572e-04       1.975908631010e-04      -8.953482041401e-01       2.087568847151e-04 
       7.091040948971e+00       1.649295369951e-05      -1.193801441787e+00       2.087197404537e-04       4.489832942161e-08       1.122458235540e-07       1.358828544588e-13       2.244916471081e-08      -8.953510813402e-01       2.087197404548e-04       5.915121265345e-01       7.017967707564e-01      -1.193801441366e+00       2.086718868042e-04       1.977048385636e-04      -1.193801441366e+00       2.086718868043e-04       1.977047081376e-04      -8.953510819812e-01       2.088169632397e-04 
       7.093088078128e+00       1.649777259275e-05      -1.193805278413e+00       2.087797350547e-04       4.493747678715e-08       1.123436919679e-07       1.360808173218e-13       2.246873839357e-08      -8.953539588101e-01       2.087797350561e-04       5.915122155002e-01       7.017959540456e-01      -1.193805277862e+00       2.087318396751e-04       1.978187567684e-04      -1.193805277862e+00       2.087318396752e-04       1.978185858580e-04      -8.953539596503e-01       2.088770415603e-04 
       7.095135207286e+00       1.650259151918e-05      -1.193809114829e+00       2.088397294073e-04       4.497664702440e-08       1.124416175610e-07       1.362790117620e-13       2.248832351220e-08      -8.953568361219e-01       2.088397294090e-04       5.915123045087e-01       7.017951374285e-01      -1.193809114147e+00       2.087917922732e-04       1.979327076800e-04      -1.193809114147e+00       2.087917922734e-04       1.979324962620e-04      -8.953568371614e-01       2.089371196802e-04 
       7.097182336443e+00       1.650741047880e-05      -1.193812951071e+00       2.088997235182e-04       4.501584014165e-08       1.125396003541e-07       1.364774379886e-13       2.250792007083e-08      -8.953597133030e-01       2.088997235202e-04       5.915123935525e-01       7.017943208959e-01      -1.193812950258e+00       2.088517446053e-04       1.980466912985e-04      -1.193812950258e+00       2.088517446055e-04       1.980464393495e-04      -8.953597145420e-01       2.089971976062e-04 
       7.099229465600e+00       1.651222947161e-05      -1.193816787193e+00       2.089597173976e-04       4.505505614789e-08       1.126376403697e-07       1.366760962128e-13       2.252752807394e-08      -8.953625903945e-01       2.089597173999e-04       5.915124826199e-01       7.017935044341e-01      -1.193816786249e+00       2.089116966814e-04       1.981607076236e-04      -1.193816786249e+00       2.089116966816e-04       1.981604151203e-04      -8.953625918330e-01       2.090572753484e-04 
       7.107433998084e+00       1.653154347768e-05      -1.193832162201e+00       2.092001602732e-04       4.521245688389e-08       1.130311422097e-07       1.374746158079e-13       2.260622844195e-08      -8.953741216509e-01       2.092001602769e-04       5.915128394636e-01       7.017902324831e-01      -1.193832160731e+00       2.091519717719e-04       1.986179931545e-04      -1.193832160731e+00       2.091519717724e-04       1.986175378824e-04      -8.953741238912e-01       2.092980548111e-04 
       7.115638530568e+00       1.655085801691e-05      -1.193847544243e+00       2.094406010887e-04       4.537022618694e-08       1.134255654673e-07       1.382768795122e-13       2.268511309347e-08      -8.953856581820e-01       2.094406010936e-04       5.915131947956e-01       7.017869594313e-01      -1.193847542244e+00       2.093922444095e-04       1.990758040307e-04      -1.193847542244e+00       2.093922444104e-04       1.990751856147e-04      -8.953856612270e-01       2.095388329817e-04 
       7.123843063052e+00       1.657017308930e-05      -1.193862937756e+00       2.096810406705e-04       4.552836467871e-08       1.138209116968e-07       1.390829011384e-13       2.276418233935e-08      -8.953972033171e-01       2.096810406768e-04       5.915135476778e-01       7.017836841691e-01      -1.193862935228e+00       2.096325154204e-04       1.995341402468e-04      -1.193862935228e+00       2.096325154219e-04       1.995333583111e-04      -8.953972071693e-01       2.097796106878e-04 
       7.132047595536e+00       1.658948869484e-05      -1.193878335021e+00       2.099214775841e-04       4.568687249023e-08       1.142171812256e-07       1.398926930340e-13       2.284343624512e-08      -8.954087512654e-01       2.099214775917e-04       5.915138997464e-01       7.017804086268e-01      -1.193878331961e+00       2.098727833694e-04       1.999930017973e-04      -1.193878331961e+00       2.098727833717e-04       1.999920559659e-04      -8.954087559278e-01       2.100203864954e-04 
