# dimensionless [l(l+1)/2pi] C_l's for scalar dark radiation density isocurvature (DRID) mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       2.032408955772e-10       5.638367818360e-15       8.793903396994e-13       0.000000000000e+00       5.569889253904e-13       5.495864747903e-14      -1.695870971965e-16 
   41       2.025352976729e-10       6.142814245664e-15       9.108399726715e-13       0.000000000000e+00       5.374333030724e-13       5.309476239670e-14      -1.554462640074e-16 
   42       2.017988738663e-10       6.677352870319e-15       9.422213602988e-13       0.000000000000e+00       5.187942953625e-13       5.128916484826e-14      -1.461156505985e-16 
   43       2.010392025826e-10       7.242778402748e-15       9.735056595042e-13       0.000000000000e+00       5.010597853020e-13       4.954028126502e-14      -1.419630607517e-16 
   44       2.002567374780e-10       7.839859131976e-15       1.004665166795e-12       0.000000000000e+00       4.841492099269e-13       4.784044026348e-14      -1.433036377303e-16 
   45       1.994481361271e-10       8.469332183528e-15       1.035671114058e-12       0.000000000000e+00       4.679522012577e-13       4.617983107922e-14      -1.500895784643e-16 
   46       1.986190782388e-10       9.131892482598e-15       1.066486191548e-12       0.000000000000e+00       4.524717329421e-13       4.456099478721e-14      -1.608820565633e-16 
   47       1.977740918127e-10       9.828196968643e-15       1.097069846298e-12       0.000000000000e+00       4.377140614451e-13       4.298779576429e-14      -1.735622726708e-16 
   48       1.969124046412e-10       1.055886481316e-14       1.127380232575e-12       0.000000000000e+00       4.236450227559e-13       4.146108090953e-14      -1.855867456988e-16 
   49       1.960274779645e-10       1.132447519498e-14       1.157374116368e-12       0.000000000000e+00       4.101868796892e-13       3.997842582757e-14      -1.939640845992e-16 
   50       1.951110501998e-10       1.212559233705e-14       1.187009018605e-12       0.000000000000e+00       3.972471283340e-13       3.853651356702e-14      -1.961516707091e-16 
   51       1.941676440400e-10       1.296285379002e-14       1.216250552211e-12       0.000000000000e+00       3.848214497253e-13       3.713962088676e-14      -1.930865326267e-16 
   52       1.932031910380e-10       1.383690226667e-14       1.245066911514e-12       0.000000000000e+00       3.729132536066e-13       3.579299675305e-14      -1.869370166424e-16 
   53       1.922206176220e-10       1.474835955537e-14       1.273426817181e-12       0.000000000000e+00       3.615025520774e-13       3.450030426296e-14      -1.802743661961e-16 
   54       1.912195909893e-10       1.569782557817e-14       1.301299526058e-12       0.000000000000e+00       3.505443108542e-13       3.326349071260e-14      -1.760927835587e-16 
   55       1.901984109868e-10       1.668588488793e-14       1.328655154553e-12       0.000000000000e+00       3.399857303349e-13       3.208319766650e-14      -1.770531989743e-16 
   56       1.891608182477e-10       1.771313020715e-14       1.355465720307e-12       0.000000000000e+00       3.298268931209e-13       3.096040812008e-14      -1.829486241722e-16 
   57       1.881104322562e-10       1.878014308697e-14       1.381704376527e-12       0.000000000000e+00       3.200722947459e-13       2.989498094214e-14      -1.926442778632e-16 
   58       1.870485867570e-10       1.988748634286e-14       1.407345142697e-12       0.000000000000e+00       3.107123424951e-13       2.888504020191e-14      -2.047887494135e-16 
   59       1.859741592599e-10       2.103570340253e-14       1.432362926623e-12       0.000000000000e+00       3.017224441912e-13       2.792686627645e-14      -2.178038153613e-16 
   60       1.848834005434e-10       2.222531765401e-14       1.456733546499e-12       0.000000000000e+00       2.930620969804e-13       2.701478695787e-14      -2.298742559347e-16 
   61       1.837721388063e-10       2.345678853850e-14       1.480433365522e-12       0.000000000000e+00       2.846882222749e-13       2.614278305619e-14      -2.393653940919e-16 
   62       1.826433559706e-10       2.473036978752e-14       1.503438050035e-12       0.000000000000e+00       2.766007297050e-13       2.530997269696e-14      -2.462082691259e-16 
   63       1.815010171523e-10       2.604621806376e-14       1.525723570509e-12       0.000000000000e+00       2.688056100637e-13       2.451617040335e-14      -2.508087243498e-16 
   64       1.803477528117e-10       2.740443142397e-14       1.547266573938e-12       0.000000000000e+00       2.613011415294e-13       2.376022781358e-14      -2.536504412149e-16 
   65       1.791847636038e-10       2.880504729449e-14       1.568044393610e-12       0.000000000000e+00       2.540774304709e-13       2.303997918778e-14      -2.552983271400e-16 
   66       1.780117252276e-10       3.024804044682e-14       1.588035058859e-12       0.000000000000e+00       2.471159522538e-13       2.235218691503e-14      -2.564019033408e-16 
   67       1.768266932765e-10       3.173332097315e-14       1.607217304836e-12       0.000000000000e+00       2.403890920457e-13       2.169248702023e-14      -2.576986926590e-16 
   68       1.756275397867e-10       3.326079294286e-14       1.625570115792e-12       0.000000000000e+00       2.338687285978e-13       2.105654609579e-14      -2.598439595278e-16 
   69       1.744168135834e-10       3.483054869869e-14       1.643071225680e-12       0.000000000000e+00       2.275550317379e-13       2.044392612384e-14      -2.628522958880e-16 
   70       1.731976983619e-10       3.644271047419e-14       1.659698329880e-12       0.000000000000e+00       2.214527019011e-13       1.985490847315e-14      -2.665484520433e-16 
   71       1.719725131542e-10       3.809737273207e-14       1.675429522655e-12       0.000000000000e+00       2.155622196141e-13       1.928932867530e-14      -2.707299387068e-16 
   72       1.707426563525e-10       3.979460169177e-14       1.690243294984e-12       0.000000000000e+00       2.098796175787e-13       1.874655291430e-14      -2.751659737093e-16 
   73       1.695085497332e-10       4.153443485689e-14       1.704118532394e-12       0.000000000000e+00       2.043962527557e-13       1.822545451630e-14      -2.795964287058e-16 
   74       1.682695824808e-10       4.331688054273e-14       1.717034512792e-12       0.000000000000e+00       1.990985784488e-13       1.772439043924e-14      -2.837307758839e-16 
   75       1.670240552115e-10       4.514191740372e-14       1.728970904296e-12       0.000000000000e+00       1.939679163886e-13       1.724117776256e-14      -2.872470346704e-16 
   76       1.657702670981e-10       4.700946377053e-14       1.739908367087e-12       0.000000000000e+00       1.889857498976e-13       1.677372400296e-14      -2.898750908089e-16 
   77       1.645101298500e-10       4.891928025043e-14       1.749830490477e-12       0.000000000000e+00       1.841512215536e-13       1.632210273014e-14      -2.916665227801e-16 
   78       1.632461141240e-10       5.087104842464e-14       1.758722206774e-12       0.000000000000e+00       1.794664270563e-13       1.588681549461e-14      -2.927722945133e-16 
