# Matter power spectrum P(k) for adiabatic (AD) mode at redshift z=0
# for k=1.02841e-05 to 1.55531 h/Mpc,
# number of wavenumbers equal to 600
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.347206174455e-02       2.434824012643e+04 
       1.360271447005e-02       2.437985971269e+04 
       1.373340350729e-02       2.440931807488e+04 
       1.386412894333e-02       2.443663711378e+04 
       1.399489088885e-02       2.446185384372e+04 
       1.412568947781e-02       2.448499637087e+04 
       1.425652486702e-02       2.450609653395e+04 
       1.438739723581e-02       2.452517952629e+04 
       1.449275362319e-02       2.453909298960e+04 
       1.451830678571e-02       2.454226916231e+04 
       1.464925374020e-02       2.455741300541e+04 
       1.478023834441e-02       2.457062045658e+04 
       1.491126086498e-02       2.458192849827e+04 
       1.504232158981e-02       2.459135985085e+04 
       1.517342082791e-02       2.459894524461e+04 
       1.530455890930e-02       2.460470869369e+04 
       1.543573618486e-02       2.460868453622e+04 
       1.556695302630e-02       2.461088952255e+04 
       1.569820982603e-02       2.461135682275e+04 
       1.582950699718e-02       2.461010404955e+04 
       1.596084497356e-02       2.460716790696e+04 
       1.609222420969e-02       2.460256697405e+04 
       1.622364518078e-02       2.459632703563e+04 
       1.635510838282e-02       2.458847664881e+04 
       1.648661433265e-02       2.457903641524e+04 
       1.661816356800e-02       2.456803166470e+04 
       1.674975664765e-02       2.455547058204e+04 
       1.688139415151e-02       2.454143260586e+04 
       1.701307668080e-02       2.452587574814e+04 
       1.714480485816e-02       2.450885799079e+04 
       1.727657932788e-02       2.449039495889e+04 
       1.740840075606e-02       2.447050929511e+04 
       1.754026983083e-02       2.444922645202e+04 
       1.767218726260e-02       2.442654881483e+04 
       1.780415378424e-02       2.440253766141e+04 
       1.793617015142e-02       2.437720478921e+04 
       1.806823714286e-02       2.435055030218e+04 
       1.820035556059e-02       2.432260786718e+04 
       1.833252623031e-02       2.429338455823e+04 
       1.846475000170e-02       2.426293011808e+04 
       1.859702774877e-02       2.423125474432e+04 
       1.872936037020e-02       2.419838120871e+04 
       1.886174878976e-02       2.416432676331e+04 
       1.899419395666e-02       2.412910508500e+04 
       1.912669684601e-02       2.409272107075e+04 
       1.925925845921e-02       2.405525445252e+04 
       1.939187982442e-02       2.401666655119e+04 
       1.952456199702e-02       2.397699330958e+04 
       1.965730606011e-02       2.393626681739e+04 
       1.979011312499e-02       2.389450235712e+04 
       1.992298433167e-02       2.385171851331e+04 
       2.005592084945e-02       2.380791474092e+04 
       2.018892387747e-02       2.376314317374e+04 
       2.032199464525e-02       2.371740100798e+04 
       2.045513441333e-02       2.367072089182e+04 
       2.058834447387e-02       2.362308280270e+04 
       2.072162615132e-02       2.357455507082e+04 
       2.085498080302e-02       2.352513142112e+04 
       2.098840981994e-02       2.347484190006e+04 
       2.112191462737e-02       2.342366423870e+04 
       2.125549668563e-02       2.337168901686e+04 
       2.138915749085e-02       2.331884345874e+04 
       2.152289857573e-02       2.326524470599e+04 
       2.165672151034e-02       2.321082433749e+04 
       2.179062790295e-02       2.315565316772e+04 
       2.192461940087e-02       2.309969775198e+04 
       2.205869769138e-02       2.304301217503e+04 
       2.219286450254e-02       2.298561796742e+04 
       2.232712160423e-02       2.292752774638e+04 
       2.246147080905e-02       2.286873730866e+04 
       2.259591397332e-02       2.280922322121e+04 
       2.273045299813e-02       2.274912117584e+04 
       2.286508983037e-02       2.268835161269e+04 
       2.299982646385e-02       2.262695218550e+04 
       2.313466494041e-02       2.256494863326e+04 
       2.326960735105e-02       2.250233678362e+04 
       2.340465583717e-02       2.243911923045e+04 
       2.353981259181e-02       2.237536424435e+04 
       2.367507986086e-02       2.231102974594e+04 
       2.381045994443e-02       2.224614328611e+04 
       2.394595519819e-02       2.218079078227e+04 
       2.408156803474e-02       2.211491393494e+04 
       2.421730092510e-02       2.204850075623e+04 
       2.435315640014e-02       2.198160636253e+04 
       2.448913705218e-02       2.191426796521e+04 
       2.462524553649e-02       2.184642871113e+04 
       2.476148457300e-02       2.177814725890e+04 
       2.489785694796e-02       2.170948555295e+04 
       2.503436551566e-02       2.164041919068e+04 
       2.517101320028e-02       2.157085691226e+04 
       2.530780299770e-02       2.150095688426e+04 
       2.544473797743e-02       2.143067341075e+04 
       2.558182128461e-02       2.136000283589e+04 
       2.571905614206e-02       2.128899103960e+04 
       2.585644585238e-02       2.121762505586e+04 
       2.599399380014e-02       2.114590768329e+04 
       2.613170345416e-02       2.107387848256e+04 
       2.626957836985e-02       2.100153417184e+04 
       2.640762219159e-02       2.092894694486e+04 
       2.654583865529e-02       2.085598629026e+04 
       2.668423159097e-02       2.078277513553e+04 
       2.682280492538e-02       2.070933034293e+04 
       2.696156268488e-02       2.063560452942e+04 
       2.710050899822e-02       2.056164287755e+04 
       2.723964809955e-02       2.048741132176e+04 
       2.737898433152e-02       2.041297198144e+04 
       2.751852214844e-02       2.033831310945e+04 
       2.765826611962e-02       2.026347846272e+04 
       2.779822093278e-02       2.018844406123e+04 
       2.793839139761e-02       2.011322464821e+04 
       2.807878244945e-02       2.003777038475e+04 
       2.821939915313e-02       1.996220462651e+04 
       2.836024670693e-02       1.988646412656e+04 
       2.850133044671e-02       1.981055139458e+04 
       2.864265585015e-02       1.973452480504e+04 
       2.878422854125e-02       1.965834491664e+04 
       2.892605429489e-02       1.958202572090e+04 
       2.906813904165e-02       1.950563736125e+04 
       2.921048887277e-02       1.942911636319e+04 
       2.935311004534e-02       1.935248733877e+04 
       2.949600898770e-02       1.927576449034e+04 
       2.963919230502e-02       1.919899134781e+04 
       2.978266678511e-02       1.912212369747e+04 
       2.992643940455e-02       1.904517917308e+04 
       3.007051733493e-02       1.896813022985e+04 
       3.021490794948e-02       1.889108779352e+04 
       3.035961882993e-02       1.881397050545e+04 
       3.050465777360e-02       1.873678971948e+04 
       3.065003280092e-02       1.865962430664e+04 
       3.079575216314e-02       1.858236997364e+04 
       3.094182435048e-02       1.850511587249e+04 
       3.108825810057e-02       1.842785796597e+04 
       3.123506240729e-02       1.835058780119e+04 
       3.138224653001e-02       1.827333155955e+04 
       3.152982000319e-02       1.819607269311e+04 
       3.167779264652e-02       1.811871765139e+04 
       3.182617457542e-02       1.804149688638e+04 
       3.197497621211e-02       1.796426988182e+04 
       3.212420829708e-02       1.788702546977e+04 
       3.227388190124e-02       1.780982556443e+04 
       3.242400843858e-02       1.773266828147e+04 
       3.257459967937e-02       1.765552368063e+04 
       3.272566776415e-02       1.757843151819e+04 
       3.287722521826e-02       1.750140742922e+04 
       3.302928496716e-02       1.742443646928e+04 
       3.318186035254e-02       1.734741587683e+04 
       3.333496514912e-02       1.727054318033e+04 
       3.348861358247e-02       1.719372841902e+04 
       3.364282034761e-02       1.711698369217e+04 
       3.379760062863e-02       1.704028224185e+04 
       3.395297011936e-02       1.696365255296e+04 
       3.410894504507e-02       1.688714053624e+04 
       3.426554218541e-02       1.681063718728e+04 
       3.442277889853e-02       1.673424241544e+04 
       3.458067314653e-02       1.665795202506e+04 
       3.473924352237e-02       1.658175728516e+04 
       3.489850927820e-02       1.650558739495e+04 
       3.505849035534e-02       1.642958460383e+04 
       3.521920741601e-02       1.635358898835e+04 
       3.538068187678e-02       1.627772837437e+04 
       3.554293594411e-02       1.620195411993e+04 
       3.570599265188e-02       1.612632335652e+04 
       3.586987590125e-02       1.605074036090e+04 
       3.603461050288e-02       1.597526214975e+04 
       3.620022222175e-02       1.589988674562e+04 
       3.636673782475e-02       1.582462311518e+04 
       3.653418513129e-02       1.574943129611e+04 
       3.670259306711e-02       1.567438739195e+04 
       3.687199172149e-02       1.559938896478e+04 
       3.704241240831e-02       1.552454715873e+04 
       3.721388773101e-02       1.544977282778e+04 
       3.738645165197e-02       1.537513741883e+04 
       3.756013956659e-02       1.530052941959e+04 
       3.773498838238e-02       1.522610369255e+04 
       3.791103660361e-02       1.515173512806e+04 
       3.808832442192e-02       1.507743253532e+04 
       3.826689381338e-02       1.500324150944e+04 
       3.844678864257e-02       1.492923624586e+04 
       3.862805477434e-02       1.485529725092e+04 
       3.881074019387e-02       1.478136859030e+04 
       3.899489513577e-02       1.470757662996e+04 
       3.918057222317e-02       1.463384970517e+04 
       3.936782661753e-02       1.456025379348e+04 
       3.955671618032e-02       1.448671504777e+04 
       3.974730164770e-02       1.441322779883e+04 
       3.993964681935e-02       1.433981783740e+04 
       4.013381876301e-02       1.426655008877e+04 
       4.032988803607e-02       1.419324557220e+04 
       4.052792892625e-02       1.412006574623e+04 
       4.072801971300e-02       1.404693075654e+04 
       4.093024295208e-02       1.397386210249e+04 
       4.113468578558e-02       1.390081114945e+04 
       4.134144028033e-02       1.382782221117e+04 
       4.155060379763e-02       1.375481676306e+04 
       4.176227939797e-02       1.368190338321e+04 
       4.197657628467e-02       1.360898710759e+04 
       4.219361029095e-02       1.353604512506e+04 
       4.241350441563e-02       1.346317465269e+04 
       4.263638941325e-02       1.339024954547e+04 
       4.286240444534e-02       1.331732862132e+04 
       4.309169780052e-02       1.324439267787e+04 
       4.332442769209e-02       1.317137253897e+04 
       4.356076314340e-02       1.309834640068e+04 
       4.380088497240e-02       1.302528029724e+04 
       4.404498688909e-02       1.295208668794e+04 
       4.429327672121e-02       1.287883247281e+04 
       4.454597778650e-02       1.280548986201e+04 
       4.480333043253e-02       1.273197081728e+04 
       4.506559376895e-02       1.265840690850e+04 
       4.533304762093e-02       1.258465816302e+04 
       4.560599473824e-02       1.251070698764e+04 
       4.588476329991e-02       1.243660690811e+04 
       4.616970976244e-02       1.236225041979e+04 
       4.646122210828e-02       1.228765346813e+04 
       4.675972356217e-02       1.221283937183e+04 
       4.706567685674e-02       1.213769291741e+04 
       4.737958914479e-02       1.206220862604e+04 
       4.770201767611e-02       1.198637384488e+04 
       4.803357638187e-02       1.191014437267e+04 
       4.837494354041e-02       1.183343863681e+04 
       4.872687073731e-02       1.175627846123e+04 
       4.909019338088e-02       1.167854972859e+04 
       4.946584309549e-02       1.160025110221e+04 
       4.985486239192e-02       1.152125982970e+04 
       5.025842211141e-02       1.144156440885e+04 
       5.067784226391e-02       1.136104435658e+04 
       5.111461703865e-02       1.127961206930e+04 
       5.157044496582e-02       1.119716318536e+04 
       5.204726546434e-02       1.111358778399e+04 
       5.254730333605e-02       1.102875023527e+04 
       5.307312317779e-02       1.094243018098e+04 
       5.362769619685e-02       1.085447916896e+04 
       5.421448254396e-02       1.076467315735e+04 
       5.483753302069e-02       1.067265921531e+04 
       5.550161483578e-02       1.057815886441e+04 
       5.621236685917e-02       1.048061392870e+04 
       5.697649026558e-02       1.037958193466e+04 
       5.780197994418e-02       1.027433818558e+04 
       5.869839929942e-02       1.016393209455e+04 
       5.967719360637e-02       1.004717374601e+04 
       6.075202039364e-02       9.922459132022e+03 
       6.193904182044e-02       9.787693340686e+03 
       6.325706278833e-02       9.640070689223e+03 
       6.472729914943e-02       9.475845796922e+03 
       6.637242881919e-02       9.290210213879e+03 
       6.821447790535e-02       9.077307756099e+03 
       7.027120623908e-02       8.830482825380e+03 
       7.255127732672e-02       8.543524025733e+03 
       7.504972585530e-02       8.212473763316e+03 
       7.774630822446e-02       7.837926925640e+03 
       8.060862224015e-02       7.426641815064e+03 
       8.359900528026e-02       6.991345017864e+03 
       8.668172069278e-02       6.548673479150e+03 
       8.982743405100e-02       6.116190010066e+03 
       9.301442977493e-02       5.709590879338e+03 
       9.622773700232e-02       5.340884511978e+03 
       9.945751139537e-02       5.017492098976e+03 
       1.026974739223e-01       4.742320312804e+03 
       1.059436957830e-01       4.514216568212e+03 
       1.091937478011e-01       4.328760876909e+03 
       1.124461388965e-01       4.179181804290e+03 
       1.156999577935e-01       4.057126452861e+03 
       1.189546489666e-01       3.953657255059e+03 
       1.222098742094e-01       3.859885974481e+03 
       1.254654277220e-01       3.767809266671e+03 
       1.287211842536e-01       3.670958228416e+03 
       1.319770675153e-01       3.564890885242e+03 
       1.352330309695e-01       3.447437685843e+03 
       1.384890461567e-01       3.318689552536e+03 
       1.417450956072e-01       3.180687499660e+03 
       1.449275362319e-01       3.040191795176e+03 
       1.450011685359e-01       3.036908010293e+03 
       1.482572582289e-01       2.891647055918e+03 
       1.515133604560e-01       2.749386731772e+03 
       1.547694725068e-01       2.614247291514e+03 
       1.580255926037e-01       2.489583053595e+03 
       1.612817195460e-01       2.377711513677e+03 
       1.645378524917e-01       2.279828374707e+03 
       1.677939908254e-01       2.196029619182e+03 
       1.710501340766e-01       2.125423735981e+03 
       1.743062818700e-01       2.066326919774e+03 
       1.775624338943e-01       2.016490534378e+03 
       1.808185898828e-01       1.973343540237e+03 
       1.840747496015e-01       1.934235932169e+03 
       1.873309128408e-01       1.897173503062e+03 
       1.905870794106e-01       1.859453684990e+03 
       1.938432491369e-01       1.819350691362e+03 
       1.970994218589e-01       1.775784071362e+03 
       2.003555974275e-01       1.728372237453e+03 
       2.036117757039e-01       1.677418679600e+03 
       2.068679565588e-01       1.623780971126e+03 
       2.101241398708e-01       1.568687343708e+03 
       2.133803255263e-01       1.513491171254e+03 
       2.166365134188e-01       1.459556037896e+03 
       2.198927034481e-01       1.407998228964e+03 
       2.231488955198e-01       1.359741735971e+03 
       2.264050895452e-01       1.315418156426e+03 
       2.296612854406e-01       1.275380487060e+03 
       2.329174831271e-01       1.239705895490e+03 
       2.361736825299e-01       1.208198593843e+03 
